교차로명,오전 첨두,오후 첨두,주간 교통량,24간 교통량
운암사거리,7560,7541,100882,111611
동운고가사거리,9206,8292,111950,124634
광천사거리,8384,7946,113074,125100
농성광장,7848,7484,97680,108070
월산마을사거리,5027,4773,65562,72540
백운광장,6230,5670,86967,99053
남광주교차로,6738,6294,87344,96636
산수오거리,2981,2706,37017,40953
서방사거리,3768,3460,45506,50349
신안교삼거리,5292,4701,63619,70380
천교사거리,3649,3581,46174,51083
대인교차로,4119,3647,47776,52857
광주역교차로,4197,4078,50953,56373
임동오거리,4789,4332,54272,60050
광주대입구교차로,14800,12863,161416,174896
문화사거리,5964,5420,75976,84056
북부서사거리,4952,4713,62498,69148
흑석사거리,5229,4913,61239,67751
상무지구입구교차로,7060,6596,89498,99016
영광통사거리,4545,4235,61113,67613
풍암사거리,13699,12693,163652,181054
풍금사거리,2899,2809,37064,41007
금남로4가역사거리,3037,3101,40755,45490
광주여대사거리,12263,11953,170628,185996
주월교차로,5048,5149,70653,78162
전대입구사거리,4744,4665,58935,65206
양산지구사거리,4727,4534,54316,60093
계수교차로,14989,15559,207020,233044
신가지구입구교차로,6160,5651,66740,73836
우석교차로,13203,13007,166064,185282
서창교차로,14037,13135,159392,172952
산월 IC,15138,13318,172849,190250
선운사거리,10775,8812,129804,143615
상무교차로,11704,12194,161201,178792
금호자동차학원,6494,5641,65930,72940
행암교차로,4746,4010,53721,59427
지원교차로,15961,12836,164142,181595
연제교차로,8966,8475,110597,122903
북구청사거리,3444,3304,43221,47815
수완성덕교사거리,7057,7288,89178,98663
하남산단6번로사거리,4089,3760,45986,50873
평동산단입구사거리,3659,3693,43193,47791
운수IC사거리,13163,10569,157505,174261
상무역사거리,4810,5352,65555,72533
남구종합문화예술회관앞교차로,4146,4189,51879,57400
북구일곡교차로,4460,3876,40866,45213
오선교차로,6305,4891,65592,72567
북광산교차로,5422,4576,54291,60064
공항역교차로,5601,5615,68324,75587
유덕1교차로,9342,10754,140526,155474
