교차로명,오전 첨두,오후 첨두,주간 교통량,24간 교통량
운암사거리,7476,7614,99236,109956
동운고가사거리,8659,8455,110092,122801
광천사거리,8104,7681,105970,117411
농성광장,7821,7555,96724,107176
월산마을사거리,4984,4673,67917,75256
백운광장,5327,5218,76741,88438
남광주교차로,5713,5764,77668,86062
산수오거리,2673,2211,33645,37283
서방사거리,3569,3506,45248,50139
신안교삼거리,4679,4210,58442,64756
천교사거리,3600,3300,44079,48842
대인교차로,4235,3848,52498,58176
광주역교차로,3680,3409,47515,52649
임동오거리,4731,4174,54248,60113
광주대입구교차로,15476,14038,169050,183655
문화사거리,5599,5559,77195,85535
북부서사거리,4864,4732,64033,70953
흑석사거리,5097,5188,62890,69687
상무지구입구교차로,7162,6248,93230,103301
영광통사거리,4606,4045,59746,66197
풍암사거리,14253,12979,179133,198490
풍금사거리,2727,2784,34597,38339
금남로4가역사거리,3023,3018,39580,44262
광주여대사거리,13309,12208,169922,187051
주월교차로,5066,4687,66649,73846
전대입구사거리,4731,4566,60812,67374
양산지구사거리,4586,4377,54787,60700
계수교차로,14637,14530,199239,224943
신가지구입구교차로,5937,5715,66307,73477
우석교차로,13417,13574,173988,193607
서창교차로,14391,13004,162306,176155
산월 IC,15305,13699,184698,203007
선운사거리,9966,8519,121192,134286
상무교차로,12248,12766,167026,184076
금호자동차학원,6213,5115,63723,70606
행암교차로,5860,5754,66227,73383
응용교차로,14061,12525,160931,178313
연제교차로,8791,8670,110308,122689
북구청사거리,3509,3386,41669,46175
수완성덕교사거리,7618,7806,93071,103130
하남산단6번로,4113,3619,45904,50860
평동산단입구,3569,3524,43591,48302
운수IC사거리,12147,10485,150253,166484
상무역사거리,4873,5022,68668,76087
남구예술회관앞,3628,4175,49489,54837
북구일곡교차로,4568,4086,40676,45067
오선교차로,5792,4166,59219,65607
북광산교차로,5224,4173,48737,54002
공항역교차로,6123,5219,68189,75554
유덕1교차로,10546,11062,141754,157068
일곡지구입구교차로,3907,3387,43124,47784
본촌산단사거리,4120,3860,47975,53158
신용교차로,9180,8950,109873,121745
용두교차로,6087,6482,72344,80160
월출교차로,6882,6537,75553,83712
용산교차로,3082,2729,29973,33214
어린이교통공원앞,5838,5972,72861,80735
첨단중앙로사거리,4828,5112,58900,65263
광주과학관앞,2836,2601,26484,29342
신창IC,10910,9551,122127,134114
수완골옷교사거리,5264,5477,60429,66956
운남주공5단지앞,7460,7549,99126,109837
장수교차로,5990,5209,65408,72467
평동산단1번로,4884,4045,62354,69091
풍암동장미원,3639,4247,52000,57617
두암IC,8539,7442,89611,96737
문흥JC,6641,5049,77971,85235
동광주IC,7964,6304,100420,111327
용봉IC,11999,10617,154954,172392
서광주IC,10193,9177,140552,156783
동림IC,15580,15841,212559,235869
광산IC,12133,9936,143996,158119
말바우사거리,3635,3559,46687,52241
경신여고사거리,3981,3562,48635,54660
문흥지구교차로,1919,1959,24809,28066
전대의대앞오거리,2457,1873,26585,29077
산장입구 사거리,2391,2193,28778,31933
금호지구입구,1492,1621,19220,21895
염주사거리,2141,2240,29474,33630
쌍촌역사거리,6139,6237,80956,92501
광주송정역사거리,2301,2460,33815,37952
호남대정문교차로,3555,2374,37566,40053
어등초교사거리,2623,2721,32299,36243
대반초교오거리,2199,2335,26516,29326
봉선쌍용사거리,1973,2407,28995,32180
대성초교사거리,3965,3808,48002,53294
