City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,고주로,1,전라남도 곡성군 고달면 백곡리 1006-39,1,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,고주로,2,전라남도 곡성군 고달면 백곡리 719-8,2,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,고주로,1,전라남도 곡성군 고달면 백곡리 720-3,3,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,고주로,2,전라남도 곡성군 고달면 백곡리 536-5,4,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,2,전라남도 곡성군 곡성읍 대평리 1122-12,5,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,2,전라남도 곡성군 곡성읍 대평리 1122-12,6,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,1,전라남도 곡성군 곡성읍 대평리 1204-10,7,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,1,전라남도 곡성군 곡성읍 대평리 1204-10,8,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,2,전라남도 곡성군 곡성읍 대평리 1204-9,9,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,1,전라남도 곡성군 곡성읍 신리 301-3,10,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,1,전라남도 곡성군 곡성읍 신리 301-3,11,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,2,전라남도 곡성군 곡성읍 신리 437-1,12,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,1,전라남도 곡성군 고달면 뇌죽리 607-8,13,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡고로,2,전라남도 곡성군 고달면 뇌죽리 517-24,14,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡성로,1,전라남도 곡성군 삼기면 금반리 572,15,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡성로,1,전라남도 곡성군 삼기면 금반리 572,16,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡성로,2,전라남도 곡성군 삼기면 금반리 572,17,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,3,전라남도 곡성군 삼기면 금반리 608-4,18,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡성로,1,전라남도 곡성군 삼기면 금반리 689,19,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡성로,1,전라남도 곡성군 삼기면 금반리 689,20,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 서계리 186,21,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 서계리 268,22,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 서계리 268,23,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 서계리 268,24,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 서계리 268,25,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 서계리 268,26,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 서계리 268,27,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 구원리 929-3,28,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 구원리 929-3,29,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 구원리 401-9,30,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 구원리 401-9,31,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 구원리 133-5,32,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,3,전라남도 곡성군 곡성읍 구원리 43-4,33,,,,,,,,,,,,,,,,,,,,,,
