SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,녹색등화,21,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,적색등화,90,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,녹색화살표/적색등화,22,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,황색등화/적색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,적색등화,89,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,녹색화살표/적색등화,22,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,적색등화,89,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,67
26,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,67
27,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,70
28,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,70
