SignalControlNumber,Color,Sequence,ColorTime
1,1,녹색,20
1,2,녹색화살표,30
1,3,황색,20
1,4,적색,30
2,5,녹색,20
2,6,녹색화살표,30
2,7,황색,20
2,8,적색,30
3,9,녹색,20
3,10,녹색화살표,30
3,11,황색,20
3,12,적색,30
4,13,녹색,20
4,14,녹색화살표,30
4,15,황색,20
4,16,적색,30
5,17,녹색,20
5,18,녹색화살표,30
5,19,황색,20
5,20,적색,30
6,21,녹색,20
6,22,황색,20
6,23,적색,30
7,24,녹색,20
7,25,황색,20
7,26,적색,30
8,27,녹색,20
8,28,녹색화살표,30
8,29,황색,20
8,30,적색,30
9,31,녹색,20
9,32,황색,20
9,33,적색,30
10,34,녹색,20
10,35,녹색화살표,30
10,36,황색,20
10,37,적색,30
11,38,녹색,20
11,39,황색,20
11,40,적색,30
12,41,녹색,20
12,42,황색,20
12,43,적색,30
13,44,녹색,20
13,45,황색,20
13,46,적색,30
14,47,녹색,20
14,48,황색,20
14,49,적색,30
15,50,녹색,20
15,51,녹색화살표,30
15,52,황색,20
15,53,적색,30
16,54,녹색,20
16,55,녹색화살표,30
16,56,황색,20
16,57,적색,30
17,58,녹색,20
17,59,녹색화살표,30
17,60,황색,20
17,61,적색,30
18,62,녹색,20
18,63,녹색화살표,30
18,64,황색,20
18,65,적색,30
19,66,녹색,20
19,67,녹색화살표,30
19,68,황색,20
19,69,적색,30
20,70,녹색,20
20,71,녹색화살표,30
20,72,황색,20
20,73,적색,30
21,74,녹색,20
21,75,녹색화살표,30
21,76,황색,20
21,77,적색,30
22,78,녹색,20
22,79,녹색화살표,30
22,80,황색,20
22,81,적색,30
23,82,녹색,20
23,83,녹색화살표,30
23,84,황색,20
23,85,적색,30
24,86,녹색(녹색화살표),20
24,87,황색,20
24,88,적색,30
