SignalControlNumber,Color,Sequence,ColorTime
1,4,녹색,72
1,4,황색,3
1,4,적색/적색화살표,10
1,4,적색,35
2,4,녹색,87
2,4,황색,3
2,4,적색/적색화살표,10
2,4,적색,20
3,3,녹색,82
3,3,황색,3
3,3,적색,35
4,4,녹색,75
4,4,황색,5
4,4,적색/적색화살표,10
4,3,적색,30
5,1,적색,0
6,4,녹색,70
6,4,황색,5
6,4,적색/적색화살표,10
6,4,적색,20
7,4,녹색,70
7,4,황색,5
7,4,적색/적색화살표,10
7,4,적색,20
8,4,녹색,70
8,4,황색,5
8,4,적색/적색화살표,10
8,4,적색,20
9,4,녹색,70
9,4,황색,5
9,4,적색/적색화살표,10
9,4,적색,20
10,4,녹색,70
10,4,황색,5
10,4,적색/적색화살표,10
10,4,적색,20
11,4,녹색,70
11,4,황색,5
11,4,적색/적색화살표,10
11,4,적색,20
12,4,녹색,70
12,4,황색,5
12,4,적색/적색화살표,10
12,4,적색,20
13,4,녹색,70
13,4,황색,5
13,4,적색/적색화살표,10
13,4,적색,20
14,3,녹색/녹색화살표,27
14,3,황색,3
14,3,적색,75
15,4,녹색,60
15,4,황색,5
15,4,적색/적색화살표,60
15,4,적색,10
16,4,녹색,60
16,4,황색,5
16,4,적색/적색화살표,10
16,4,적색,60
17,1,황색,0
18,4,녹색,87
18,4,황색,3
18,4,적색/적색화살표,15
18,4,적색,10
19,4,녹색,87
19,4,황색,3
19,4,적색/적색화살표,15
19,4,적색,10
20,3,녹색,87
20,3,황색,3
20,3,적색,47
21,4,녹색,55
21,4,황색,5
21,4,적색/적색화살표,45
21,4,적색,15
22,3,녹색,70
22,3,황색,5
22,3,적색,10
23,3,녹색,80
23,3,황색,3
23,3,적색,47
24,1,황색,0
25,3,녹색,80
25,3,황색,3
25,3,적색,47
26,3,녹색/녹색화살표,80
26,3,황색,3
26,3,적색,47
27,1,황색,0
28,3,녹색/녹색화살표,17
28,3,황색,3
28,3,적색,100
29,1,황색,0
30,1,황색,0
31,3,녹색/녹색화살표,25
31,3,황색,5
31,3,적색,75
32,4,녹색,70
32,4,황색,5
32,4,적색/적색화살표,10
32,4,적색,20
33,4,녹색,70
33,4,황색,5
33,4,적색/적색화살표,10
33,4,적색,20
34,4,녹색,70
34,4,황색,5
34,4,적색/적색화살표,10
34,4,적색,20
35,4,녹색,70
35,4,황색,5
35,4,적색/적색화살표,10
35,4,적색,20
36,4,녹색,70
36,4,황색,5
36,4,적색/적색화살표,10
36,4,적색,20
37,4,녹색,70
37,4,황색,5
37,4,적색/적색화살표,10
37,4,적색,20
38,4,녹색,70
38,4,황색,5
38,4,적색/적색화살표,10
38,4,적색,20
39,4,녹색,70
39,4,황색,5
39,4,적색/적색화살표,10
39,4,적색,20
40,4,녹색,70
40,4,황색,5
40,4,적색/적색화살표,10
40,4,적색,20
41,4,녹색,70
41,4,황색,5
41,4,적색/적색화살표,10
41,4,적색,20
