City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber
전라남도,함평군,1,영산로,3,전라남도 함평군 학교면 죽정리 산5-36,1
전라남도,함평군,1,영산로,3,전라남도 함평군 학교면 죽정리 878-6,2
전라남도,함평군,1,영산로,3,전라남도 함평군 학교면 죽정리 1483-4,3
전라남도,함평군,1,영산로,3,전라남도 함평군 학교면 사거리 360-12,4
전라남도,함평군,23,영산로,3,전라남도 함평군 학교면 사거리 628-23,5
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 사거리 620-1,6
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 사거리 621-14,7
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 사거리 1054-1,8
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 사거리 779-3,9
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 사거리 166-5,10
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 월산리 1523-1,11
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 월산리 1476-1,12
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 월산리 1516-1,13
전라남도,함평군,23,함영로,3,전라남도 함평군 함평읍 기각리 435-1,14
전라남도,함평군,23,남일길,3,전라남도 함평군 함평읍 대덕리 133-8,15
전라남도,함평군,23,함영로,3,전라남도 함평군 함평읍 진양리 272-2,16
전라남도,함평군,23,함영로,3,전라남도 함평군 함평읍 진양리 352-1,17
전라남도,함평군,23,함영로,3,전라남도 함평군 대동면 금산리 785-6,18
전라남도,함평군,23,함영로,3,전라남도 함평군 대동면 금산리 471-1,19
전라남도,함평군,23,함영로,3,전라남도 함평군 신광면 가덕리 339-2,20
전라남도,함평군,23,함영로,3,전라남도 함평군 신광면 계천리 156-5,21
전라남도,함평군,22,해삼로,3,전라남도 함평군 해보면 문장리 822-1,24
전라남도,함평군,22,밀재로,3,전라남도 함평군 월야면 월야리 714-1,25
전라남도,함평군,24,함장로,3,전라남도 함평군 함평읍 내교리 551-1,26
전라남도,함평군,24,함장로,3,전라남도 함평군 함평읍 내교리 40,27
전라남도,함평군,24,함장로,3,전라남도 함평군 함평읍 내교리 834,28
전라남도,함평군,24,함장로,3,전라남도 함평군 함평읍 내교리 65,29
전라남도,함평군,24,함장로,3,전라남도 함평군 함평읍 기각리 1091-1,30
전라남도,함평군,105,영수길,3,전라남도 함평군 함평읍 기각리 949-2,31
전라남도,함평군,23,영수길,3,전라남도 함평군 함평읍 기각리 435,32
전라남도,함평군,105,학동로,3,전라남도 함평군 대동면 향교리 829-1,33
전라남도,함평군,203,학교화산길,3,전라남도 함평군 학교면 월산리 1545-1,34
전라남도,함평군,105,대동길,3,전라남도 함평군 대동면 강운리 967-1,35
전라남도,함평군,24,성대길,3,전라남도 함평군 해보면 대창리 623-2,36
전라남도,함평군,22,함장로,3,전라남도 함평군 해보면 용산리 1150-1,37
전라남도,함평군,22,해삼로,3,전라남도 함평군 해보면 문장리 822-1,38
전라남도,함평군,24,문화로,3,전라남도 함평군 월야면 정산리 984-18,39
전라남도,함평군,22,영광로,3,전라남도 함평군 월야면 월야리 774-1,40
전라남도,함평군,22,영광로,3,전라남도 함평군 해보면 해보리 218,41
전라남도,함평군,22,해삼로,3,전라남도 함평군 해보면 해보리 27-9,42
전라남도,함평군,23,함영로,3,전라남도 함평군 학교면 곡창리 589,45
