SignalControlNumber,Color,Sequence,ColorTime
21,4,녹색(화살),40
21,4,황색,5
21,4,적색,30
53,4,녹색(화살),40
53,4,황색,5
53,4,적색,30
61,4,녹색(화살),40
61,4,황색,5
61,4,적색,30
69,4,녹색(화살),40
69,4,황색,5
69,4,적색,30
1,4,녹색(화살),40
1,4,황색,5
1,4,적색,30
55,4,녹색(화살),40
55,4,황색,5
55,4,적색,30
54,4,녹색(화살),40
54,4,황색,5
54,4,적색,30
52,4,녹색(화살),40
52,4,황색,5
52,4,적색,30
51,4,녹색(화살),40
51,4,황색,5
51,4,적색,30
2,4,녹색(화살),40
2,4,황색,5
2,4,적색,30
63,4,녹색(화살),40
63,4,황색,5
63,4,적색,30
56,4,녹색(화살),40
56,4,황색,5
56,4,적색,30
57,4,녹색(화살),40
57,4,황색,5
57,4,적색,30
3,4,녹색(화살),40
3,4,황색,5
3,4,적색,30
58,4,녹색(화살),40
58,4,황색,5
58,4,적색,30
50,4,녹색(화살),40
50,4,황색,5
50,4,적색,30
59,4,녹색(화살),40
59,4,황색,5
59,4,적색,30
68,4,녹색(화살),40
68,4,황색,5
68,4,적색,30
4,4,녹색(화살),40
4,4,황색,5
4,4,적색,30
67,4,녹색(화살),40
67,4,황색,5
67,4,적색,30
66,4,녹색(화살),40
66,4,황색,5
66,4,적색,30
65,4,녹색(화살),40
65,4,황색,5
65,4,적색,30
36,4,녹색(화살),40
36,4,황색,5
36,4,적색,30
60,4,녹색(화살),40
60,4,황색,5
60,4,적색,30
64,4,녹색(화살),40
64,4,황색,5
64,4,적색,30
5,4,녹색(화살),40
5,4,황색,5
5,4,적색,30
49,4,녹색(화살),40
49,4,황색,5
49,4,적색,30
6,4,녹색(화살),40
6,4,황색,5
6,4,적색,30
48,4,녹색(화살),40
48,4,황색,5
48,4,적색,30
44,4,녹색(화살),40
44,4,황색,5
44,4,적색,30
47,4,녹색(화살),40
47,4,황색,5
47,4,적색,30
45,4,녹색(화살),40
45,4,황색,5
45,4,적색,30
46,4,녹색(화살),40
46,4,황색,5
46,4,적색,30
39,4,녹색(화살),40
39,4,황색,5
39,4,적색,30
40,4,녹색(화살),40
40,4,황색,5
40,4,적색,30
41,4,녹색(화살),40
41,4,황색,5
41,4,적색,30
38,4,녹색(화살),40
38,4,황색,5
38,4,적색,30
37,4,녹색(화살),40
37,4,황색,5
37,4,적색,30
9,4,녹색(화살),40
9,4,황색,5
9,4,적색,30
8,4,녹색(화살),40
8,4,황색,5
8,4,적색,30
7,4,녹색(화살),40
7,4,황색,5
7,4,적색,30
42,4,녹색(화살),40
42,4,황색,5
42,4,적색,30
10,4,녹색(화살),40
10,4,황색,5
10,4,적색,30
43,4,녹색(화살),40
43,4,황색,5
43,4,적색,30
13,4,녹색(화살),40
13,4,황색,5
13,4,적색,30
12,4,녹색(화살),40
12,4,황색,5
12,4,적색,30
14,4,녹색(화살),40
14,4,황색,5
14,4,적색,30
15,4,녹색(화살),40
15,4,황색,5
15,4,적색,30
11,4,녹색(화살),40
11,4,황색,5
11,4,적색,30
25,4,녹색(화살),40
25,4,황색,5
25,4,적색,30
62,4,녹색(화살),40
62,4,황색,5
62,4,적색,30
24,4,녹색(화살),40
24,4,황색,5
24,4,적색,30
23,4,녹색(화살),40
23,4,황색,5
23,4,적색,30
22,4,녹색(화살),40
22,4,황색,5
22,4,적색,30
16,4,녹색(화살),40
16,4,황색,5
16,4,적색,30
17,4,녹색(화살),40
17,4,황색,5
17,4,적색,30
20,4,녹색(화살),40
20,4,황색,5
20,4,적색,30
18,4,녹색(화살),40
18,4,황색,5
18,4,적색,30
19,4,녹색(화살),40
19,4,황색,5
19,4,적색,30
26,4,녹색(화살),40
26,4,황색,5
26,4,적색,30
28,4,녹색(화살),40
28,4,황색,5
28,4,적색,30
27,4,녹색(화살),40
27,4,황색,5
27,4,적색,30
30,4,녹색(화살),40
30,4,황색,5
30,4,적색,30
29,4,녹색(화살),40
29,4,황색,5
29,4,적색,30
34,4,녹색(화살),40
34,4,황색,5
34,4,적색,30
33,4,녹색(화살),40
33,4,황색,5
33,4,적색,30
35,4,녹색(화살),40
35,4,황색,5
35,4,적색,30
31,4,녹색(화살),40
31,4,황색,5
31,4,적색,30
32,4,녹색(화살),40
32,4,황색,5
32,4,적색,30
69,4,녹색(화살),40
69,4,황색,5
69,4,적색,30
70,4,녹색(화살),40
70,4,황색,5
70,4,적색,30
71,4,녹색(화살),40
71,4,황색,5
71,4,적색,30
