SignalControlNumber,Color,Sequence,ColorTime
1,3,녹색,93
1,3,황색,4
1,3,적색,53
2,4,녹색,71
2,4,황색,3
2,4,녹색화살표/적색,18
2,4,황색/적색,2
2,4,적색,56
3,4,녹색,71
3,4,황색,3
3,4,녹색화살표/적색,18
3,4,황색/적색,2
3,4,적색,56
4,4,녹색,71
4,4,황색,3
4,4,녹색화살표/적색,18
4,4,황색/적색,2
4,4,적색,56
5,4,녹색,71
5,4,황색,3
5,4,녹색화살표/적색,18
5,4,황색/적색,2
5,4,적색,56
6,4,녹색,71
6,4,황색,3
6,4,녹색화살표/적색,18
6,4,황색/적색,2
6,4,적색,56
7,4,녹색,71
7,4,황색,3
7,4,녹색화살표/적색,18
7,4,황색/적색,2
7,4,적색,56
8,4,녹색,71
8,4,황색,3
8,4,녹색화살표/적색,18
8,4,황색/적색,2
8,4,적색,56
9,4,녹색,71
9,4,황색,3
9,4,녹색화살표/적색,18
9,4,황색/적색,2
9,4,적색,56
10,4,녹색,71
10,4,황색,3
10,4,녹색화살표/적색,18
10,4,황색/적색,2
10,4,적색,56
11,4,녹색,71
11,4,황색,3
11,4,녹색화살표/적색,18
11,4,황색/적색,2
11,4,적색,56
12,4,녹색,71
12,4,황색,3
12,4,녹색화살표/적색,18
12,4,황색/적색,2
12,4,적색,56
