SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,녹색등화/녹색화살표,29,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,황색등화,2,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,적색등화,112,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,녹색등화/녹색화살표,29,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,황색등화,2,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,적색등화,112,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,녹색등화,62,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,황색등화,5,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,적색등화/녹색화살표,11,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,적색등화/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,적색등화,67,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,녹색등화,62,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,황색등화,5,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,적색등화/녹색화살표,11,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,적색등화/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,적색등화,67,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,녹색등화,61,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,적색등화/녹색화살표,12,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,적색등화/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,적색등화,70,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,녹색등화,31,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,적색등화,32,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,녹색등화,61,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,적색등화/녹색화살표,12,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,적색등화/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,67
40,5,적색등화,70,,,,,,,,,,,,,,,,,,,,,,,,,67
41,5,녹색등화,61,,,,,,,,,,,,,,,,,,,,,,,,,70
41,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,적색등화/녹색화살표,12,,,,,,,,,,,,,,,,,,,,,,,,,70
41,5,적색등화/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,70
41,5,적색등화,70,,,,,,,,,,,,,,,,,,,,,,,,,67
42,5,녹색등화,62,,,,,,,,,,,,,,,,,,,,,,,,,
